Entity,Code,Year,Decadal average surface temperature
Benin,BEN,1990,27.30428
Benin,BEN,2000,27.547947
Benin,BEN,2010,27.848606
Bhutan,BTN,1940,6.7885995
Bhutan,BTN,1950,7.173116
Bhutan,BTN,1960,7.344168
Bhutan,BTN,1970,7.609418
Bhutan,BTN,1980,7.7235384
Bhutan,BTN,1990,7.944049
Bhutan,BTN,2000,8.279564
Bhutan,BTN,2010,8.575572
Bolivia,BOL,1940,19.353476
Bolivia,BOL,1950,18.982944
Bolivia,BOL,1960,19.511766
Bolivia,BOL,1970,19.408024
Bolivia,BOL,1980,19.666273
Bolivia,BOL,1990,19.888805
Bolivia,BOL,2000,20.195354
Bolivia,BOL,2010,20.587376
Bosnia and Herzegovina,BIH,1940,8.466156
Bosnia and Herzegovina,BIH,1950,9.282221
Bosnia and Herzegovina,BIH,1960,9.076327
Bosnia and Herzegovina,BIH,1970,9.141766
Bosnia and Herzegovina,BIH,1980,9.256629
Bosnia and Herzegovina,BIH,1990,9.5812645
Bosnia and Herzegovina,BIH,2000,10.411464
Bosnia and Herzegovina,BIH,2010,10.873003
Botswana,BWA,1940,21.711884
Botswana,BWA,1950,21.359697
Botswana,BWA,1960,21.347416
Botswana,BWA,1970,21.19202
Botswana,BWA,1980,21.83076
Botswana,BWA,1990,22.09568
Botswana,BWA,2000,21.902864
Botswana,BWA,2010,22.35683
Brazil,BRA,1940,24.193356
Brazil,BRA,1950,24.39146
Brazil,BRA,1960,24.366207
Brazil,BRA,1970,24.20204
Brazil,BRA,1980,24.475826
Brazil,BRA,1990,24.721247
Brazil,BRA,2000,24.931515
Brazil,BRA,2010,25.288067
Brunei,BRN,1940,24.82143
Brunei,BRN,1950,25.32874
Brunei,BRN,1960,25.29713
Brunei,BRN,1970,25.535774
Brunei,BRN,1980,25.901468
Brunei,BRN,1990,26.17043
Brunei,BRN,2000,26.289957
Brunei,BRN,2010,26.619694
Bulgaria,BGR,1940,10.224178
Bulgaria,BGR,1950,10.643305
Bulgaria,BGR,1960,10.798745
Bulgaria,BGR,1970,10.530949
Bulgaria,BGR,1980,10.483402
Bulgaria,BGR,1990,10.858294
Bulgaria,BGR,2000,11.466509
Bulgaria,BGR,2010,11.906816
